primary_key,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Month,Revenue
1,1,1,1,1,Returning_Visitor,False,Feb,False
2,2,2,1,2,Returning_Visitor,False,Feb,False
3,4,1,9,3,Returning_Visitor,False,Feb,False
4,3,2,2,4,Returning_Visitor,False,Feb,False
5,3,3,1,4,Returning_Visitor,True,Feb,False
6,2,2,1,3,Returning_Visitor,False,Feb,False
7,2,4,3,3,Returning_Visitor,False,Feb,False
8,1,2,1,5,Returning_Visitor,True,Feb,False
9,2,2,2,3,Returning_Visitor,False,Feb,False
10,2,4,1,2,Returning_Visitor,False,Feb,False
11,1,1,3,3,Returning_Visitor,False,Feb,False
12,1,1,4,3,Returning_Visitor,False,Feb,False
13,1,1,1,3,Returning_Visitor,False,Feb,False
14,2,5,1,3,Returning_Visitor,False,Feb,False
15,3,2,3,3,Returning_Visitor,False,Feb,False
16,1,1,9,3,Returning_Visitor,False,Feb,False
17,1,1,4,3,Returning_Visitor,False,Feb,False
18,1,1,1,4,Returning_Visitor,True,Feb,False
19,2,2,1,3,Returning_Visitor,False,Feb,False
20,2,4,4,4,Returning_Visitor,False,Feb,False
21,2,2,5,1,Returning_Visitor,True,Feb,False
22,3,3,1,3,Returning_Visitor,False,Feb,False
23,3,2,1,5,Returning_Visitor,False,Feb,False
24,2,4,1,3,Returning_Visitor,False,Feb,False
25,2,2,4,1,Returning_Visitor,True,Feb,False
26,1,1,9,3,Returning_Visitor,False,Feb,False
27,2,2,1,3,Returning_Visitor,False,Feb,False
28,1,1,1,3,Returning_Visitor,False,Feb,False
29,2,6,1,3,Returning_Visitor,False,Feb,False
30,3,2,1,1,Returning_Visitor,False,Feb,False
31,1,1,6,3,Returning_Visitor,False,Feb,False
32,1,2,6,6,Returning_Visitor,True,Feb,False
33,2,2,1,1,Returning_Visitor,False,Feb,False
34,1,1,3,1,Returning_Visitor,False,Feb,False
35,2,2,1,1,Returning_Visitor,False,Feb,False
36,2,2,7,1,Returning_Visitor,False,Feb,False
37,3,2,1,4,Returning_Visitor,True,Feb,False
38,2,2,8,4,Returning_Visitor,False,Feb,False
39,2,2,1,3,Returning_Visitor,False,Feb,False
